"id","wwmeasureid","submited_datetime","analysisdate","reportdate","fractionAnalyzed","value","notes","covtype_id","sampleid_id"
590,PAR_14032022_covE_gc/L,2022-03-18 14:56:44,2022-03-14,2022-03-14,liquid,265300.0,"",2,41
591,PAR_14032022_covN2_gc/L,2022-03-18 14:56:44,2022-03-14,2022-03-14,liquid,324200.0,"",1,41
592,PAR_28102021_covE,,2021-10-27,2021-10-07,liquid,81250.0,"",2,85
593,LAR_03032022_covE_PE-COD,2022-03-24 13:27:18,2022-03-07,2022-03-07,liquid,13236486486,"",3,34
594,LAR_03032022_covN2_PE-COD,2022-03-24 13:27:18,2022-03-07,2022-03-07,liquid,9255405405,"",9,34
595,VAT_03032022_covE_PE-COD,2022-03-24 13:42:52,2022-03-07,2022-03-07,liquid,9321375465,"",3,35
596,VAT_03032022_covN2_PE-COD,2022-03-24 13:42:52,2022-03-07,2022-03-07,liquid,20390892193,"",9,35
597,PAR_14032022_covE_PE-COD,2022-03-24 13:51:09,2022-03-14,2022-03-14,liquid,82906250000,"",3,41
598,PAR_14032022_covN2_PE-COD,2022-03-24 13:51:09,2022-03-14,2022-03-14,liquid,101312500000,"",9,41
599,LIM_21032022_covE_gc/L,2022-03-24 16:15:20,2022-03-21,2022-03-21,liquid,537700.0,"",2,43
600,LIM_21032022_covN2_gc/L,2022-03-24 16:15:20,2022-03-21,2022-03-21,liquid,638550.0,"",1,43
601,VAT_17032022_covE_gc/L,2022-03-24 16:18:32,2022-03-21,2022-03-21,liquid,755900.0,"",2,105
602,AYI_31012022_covE_gc/L,2022-02-11 11:49:19,2022-01-31,2022-01-31,liquid,37355.0,"",2,21
603,AYI_31012022_covN2_gc/L,2022-02-11 11:49:19,2022-01-31,2022-01-31,liquid,47845.0,"",1,21
604,AYI_10022022_covE_gc/L,2022-02-18 10:57:21,2022-02-14,2022-02-14,liquid,26270.0,"",2,79
605,AYI_10022022_covN2_gc/L,2022-02-18 10:57:21,2022-02-14,2022-02-14,liquid,72095.0,"",1,79
606,PAR_21022022_covE_gc/L,2022-02-24 11:28:37,2022-02-21,2022-02-21,liquid,52640.0,"",2,84
607,PAR_21022022_covN2_gc/L,2022-02-24 11:28:37,2022-02-21,2022-02-21,liquid,128230.0,"",1,84
608,LAR_03012022_covE_PE-COD,2022-02-28 15:39:39,2022-01-03,2022-01-03,liquid,26378466557.9,"",3,313
609,LAR_03012022_covN2_PE-COD,2022-02-28 15:39:39,2022-01-03,2022-01-03,liquid,35171288743.9,"",9,313
610,ANT_29112021_covE_PE-COD,2022-02-28 16:13:13,2021-11-29,2021-11-29,liquid,1138964578,"",3,246
611,ANT_29112021_covN2_PE-COD,2022-02-28 16:13:13,2021-11-29,2021-11-29,liquid,1408719346,"",9,246
612,VAT_16122021_covE_PE-COD,2022-03-01 16:57:43,2021-12-20,2021-12-20,liquid,2564690027,"",3,275
613,VAT_16122021_covN2_PE-COD,2022-03-01 16:57:43,2021-12-20,2021-12-20,liquid,3565363881,"",9,275
614,PAF_04112021_covE_PE-COD,2022-03-03 09:21:56,2021-11-08,2021-11-08,liquid,223579525,"",3,196
615,PAF_04112021_covN2_PE-COD,2022-03-03 09:21:56,2021-11-08,2021-11-08,liquid,2980255941,"",9,196
616,PAF_27122021_covE_PE-COD,2022-03-03 09:42:09,2021-12-27,2021-12-27,liquid,7623954984,"",3,301
617,PAF_27122021_covN2_PE-COD,2022-03-03 09:42:09,2021-12-27,2021-12-27,liquid,7158842444,"",9,301
618,ANT_24012022_covN2_PE-COD,2022-03-15 10:05:21,2022-01-24,2022-01-24,liquid,15017220903,"",9,317
619,AYI_21102021_covE_PE-COD,2022-03-03 10:13:27,2021-10-25,2021-10-25,liquid,1814602888,"",3,177
620,AYI_21102021_covN2_PE-COD,2022-03-03 10:13:27,2021-10-25,2021-10-25,liquid,313202166,"",9,177
621,AYI_24022022_covE_gc/L,2022-03-03 11:03:49,2022-02-28,2022-02-28,liquid,66130.0,"",2,33
622,AYI_24022022_covN2_gc/L,2022-03-03 11:03:49,2022-02-28,2022-02-28,liquid,45460.0,"",1,33
623,AYI_13122021_covE_PE-COD,2022-03-03 13:41:11,2021-12-13,2021-12-13,liquid,3625717213,"",3,269
624,AYI_13122021_covN2_PE-COD,2022-03-03 13:41:11,2021-12-13,2021-12-13,liquid,686034836,"",9,269
625,ANT_20122021_covE_PE-COD,2022-03-08 11:41:03,2021-12-21,2021-12-21,liquid,1791386272,"",3,288
626,ANT_20122021_covN2_PE-COD,2022-03-08 11:41:03,2021-12-21,2021-12-21,liquid,3212651413,"",9,288
627,AYI_03022022_covE_PE-COD,2022-03-08 12:11:50,2022-02-07,2022-02-07,liquid,11489387755,"",3,118
628,AYI_03022022_covN2_PE-COD,2022-03-08 12:11:50,2022-02-07,2022-02-07,liquid,39079183673,"",9,118
629,PAR_18102021_covE_PE-COD,2022-03-08 12:40:36,2021-10-18,2021-10-18,liquid,31818862,"",3,153
630,PAR_18102021_covN2_PE-COD,2022-03-08 12:40:36,2021-10-18,2021-10-18,liquid,19704953,"",9,153
631,PAR_03012022_covE_PE-COD,2022-03-08 12:58:28,2022-01-03,2022-01-03,liquid,38478411215,"",3,312
632,PAR_03012022_covN2_PE-COD,2022-03-08 12:58:28,2022-01-03,2022-01-03,liquid,26667289720,"",9,312
633,PAR_17022022_covE_PE-COD,2022-03-08 13:07:56,2022-02-21,2022-02-21,liquid,15465113350,"",3,29
634,PAR_17022022_covN2_PE-COD,2022-03-08 13:07:56,2022-02-21,2022-02-21,liquid,26208816121,"",9,29
635,PAR_03032022_covE_gc/L,2022-03-11 12:13:52,2022-03-08,2022-03-08,liquid,53180.0,"",2,96
636,PAR_03032022_covN2_gc/L,2022-03-11 12:13:52,2022-03-08,2022-03-08,liquid,72745.0,"",1,96
637,ANT_24012022_covE_PE-COD,2022-03-15 10:05:21,2022-01-24,2022-01-24,liquid,16682897862,"",3,317
638,VAT_03022022_covE_PE-COD,2022-03-15 10:43:07,2022-02-07,2022-02-07,liquid,8705248991,"",3,9
639,VAT_03022022_covN2_PE-COD,2022-03-15 10:43:07,2022-02-07,2022-02-07,liquid,16995222073,"",9,9
640,LAR_10032022_covE_gc/L,2022-03-18 14:48:23,2022-03-14,2022-03-14,liquid,149785.0,"",2,38
641,LAR_10032022_covN2_gc/L,2022-03-18 14:48:23,2022-03-14,2022-03-14,liquid,370250.0,"",1,38
642,AYI_10032022_covE_gc/L,2022-03-18 14:57:36,2022-03-14,2022-03-14,liquid,111550.0,"",2,101
643,AYI_10032022_covN2_gc/L,2022-03-18 14:57:36,2022-03-14,2022-03-14,liquid,208950.0,"",1,101
644,LAR_07032022_covE_PE-COD,2022-03-24 13:28:58,2022-03-07,2022-03-07,liquid,15514133987,"",3,93
645,LAR_07032022_covN2_PE-COD,2022-03-24 13:28:58,2022-03-07,2022-03-07,liquid,13615196078,"",9,93
646,VAT_07032022_covE_PE-COD,2022-03-24 13:43:40,2022-03-07,2022-03-07,liquid,8104385965,"",3,95
647,VAT_07032022_covN2_PE-COD,2022-03-24 13:43:40,2022-03-07,2022-03-07,liquid,14741140351,"",9,95
648,AYI_03032022_covE_PE-COD,2022-03-24 13:52:24,2022-03-07,2022-03-07,liquid,21673837209,"",3,37
649,AYI_03032022_covN2_PE-COD,2022-03-24 13:52:25,2022-03-07,2022-03-07,liquid,34097868217,"",9,37
650,LAR_17032022_covE_gc/L,2022-03-24 16:16:00,2022-03-21,2022-03-21,liquid,654000.0,"",2,103
651,LAR_17032022_covN2_gc/L,2022-03-24 16:16:00,2022-03-21,2022-03-21,liquid,552650.0,"",1,103
652,VAT_17032022_covN2_gc/L,2022-03-24 16:18:32,2022-03-21,2022-03-21,liquid,835800.0,"",1,105
653,PAF_21032022_covE_gc/L,2022-03-24 16:20:58,2022-03-21,2022-03-21,liquid,898150.0,"",2,31
654,AYI_14022022_covE_gc/L,2022-02-18 10:58:10,2022-02-14,2022-02-14,liquid,77735.0,"",2,110
655,AYI_14022022_covN2_gc/L,2022-02-18 10:58:10,2022-02-14,2022-02-14,liquid,58135.0,"",1,110
656,AYI_21022022_covE_gc/L,2022-02-24 11:36:29,2022-02-21,2022-02-21,liquid,59085.0,"",2,147
657,AYI_21022022_covN2_gc/L,2022-02-24 11:36:29,2022-02-21,2022-02-21,liquid,119235.0,"",1,147
658,LAR_13012022_covE_PE-COD,2022-02-28 15:40:17,2022-01-17,2022-01-17,liquid,11752442996.7,"",3,69
659,LAR_13012022_covN2_PE-COD,2022-02-28 15:40:17,2022-01-17,2022-01-17,liquid,11143322475.6,"",9,69
660,ANT_02122021_covE_PE-COD,2022-02-28 16:13:47,2021-12-06,2021-12-06,liquid,525143021,"",3,253
661,ANT_02122021_covN2_PE-COD,2022-02-28 16:13:47,2021-12-06,2021-12-06,liquid,854765446,"",9,253
662,VAT_20122021_covE_PE-COD,2022-03-01 16:58:29,2021-12-20,2021-12-20,liquid,1781931464,"",3,282
663,VAT_20122021_covN2_PE-COD,2022-03-01 16:58:29,2021-12-20,2021-12-20,liquid,3490186916,"",9,282
664,PAF_08112021_covE_PE-COD,2022-03-03 09:23:00,2021-11-08,2021-11-08,liquid,464939866,"",3,202
665,PAF_08112021_covN2_PE-COD,2022-03-03 09:23:00,2021-11-08,2021-11-08,liquid,755545657,"",9,202
666,PAF_30122021_covE_PE-COD,2022-03-03 09:42:55,2022-01-03,2022-01-03,liquid,70851415094,"",3,308
667,PAF_30122021_covN2_PE-COD,2022-03-03 09:42:55,2022-01-03,2022-01-03,liquid,60897798742,"",9,308
668,VAT_07022022_covN2_PE-COD,2022-03-15 10:43:44,2022-02-07,2022-02-07,liquid,17363584184,"",9,60
669,LIM_24022022_covE_gc/L,2022-03-03 10:50:15,2022-02-28,2022-02-28,liquid,110350.0,"",2,32
670,LIM_24022022_covN2_gc/L,2022-03-03 10:50:15,2022-02-28,2022-02-28,liquid,68765.0,"",1,32
671,AYI_28022022_covE_gc/L,2022-03-03 11:04:38,2022-02-28,2022-02-28,liquid,12270.0,"",2,59
672,AYI_28022022_covN2_gc/L,2022-03-03 11:04:38,2022-02-28,2022-02-28,liquid,15285.0,"",1,59
673,AYI_16122021_covE_PE-COD,2022-03-03 13:41:54,2021-12-20,2021-12-20,liquid,508925319,"",3,276
674,AYI_16122021_covN2_PE-COD,2022-03-03 13:41:54,2021-12-20,2021-12-20,liquid,382295082,"",9,276
675,ANT_21122021_covE_PE-COD,2022-03-08 11:41:50,2021-12-21,2021-12-21,liquid,2946946108,"",3,281
676,ANT_21122021_covN2_PE-COD,2022-03-08 11:41:50,2021-12-21,2021-12-21,liquid,5526347305,"",9,281
677,AYI_07022022_covE_PE-COD,2022-03-08 12:13:06,2022-02-07,2022-02-07,liquid,30333333333,"",3,331
678,AYI_07022022_covN2_PE-COD,2022-03-08 12:13:06,2022-02-07,2022-02-07,liquid,25694444444,"",9,331
679,PAR_22112021_covE_PE-COD,2022-03-08 12:41:25,2021-11-22,2021-11-22,liquid,22200303,"",3,228
680,PAR_22112021_covN2_PE-COD,2022-03-08 12:41:25,2021-11-22,2021-11-22,liquid,115174507,"",9,228
681,PAR_06012022_covE_PE-COD,2022-03-08 12:59:05,2022-01-10,2022-01-10,liquid,39708702436,"",3,65
682,PAR_06012022_covN2_PE-COD,2022-03-08 12:59:05,2022-01-10,2022-01-10,liquid,18923989588,"",9,65
683,PAR_21022022_covE_PE-COD,2022-03-08 13:08:55,2022-02-21,2022-02-21,liquid,16310985915,"",3,84
684,PAR_21022022_covN2_PE-COD,2022-03-08 13:08:55,2022-02-21,2022-02-21,liquid,39733239437,"",9,84
685,PAR_08032022_covE_gc/L,2022-03-11 12:15:06,2022-03-08,2022-03-08,liquid,66280.0,"",2,157
686,PAR_08032022_covN2_gc/L,2022-03-11 12:15:06,2022-03-08,2022-03-08,liquid,49340.0,"",1,157
687,ANT_27012022_covE_PE-COD,2022-03-15 10:06:19,2022-01-31,2022-01-31,liquid,18159375000,"",3,18
688,ANT_27012022_covN2_PE-COD,2022-03-15 10:06:19,2022-01-31,2022-01-31,liquid,31878125000,"",9,18
689,VAT_07022022_covE_PE-COD,2022-03-15 10:43:44,2022-02-07,2022-02-07,liquid,8192474490,"",3,60
690,LAR_14032022_covE_gc/L,2022-03-18 14:49:06,2022-03-14,2022-03-14,liquid,77170.0,"",2,99
691,LAR_14032022_covN2_gc/L,2022-03-18 14:49:06,2022-03-14,2022-03-14,liquid,209150.0,"",1,99
692,AYI_14032022_covE_gc/L,2022-03-18 14:58:26,2022-03-14,2022-03-14,liquid,244100.0,"",2,42
693,AYI_14032022_covN2_gc/L,2022-03-18 14:58:26,2022-03-14,2022-03-14,liquid,422750.0,"",1,42
694,LAR_10032022_covE_PE-COD,2022-03-24 13:29:49,2022-03-14,2022-03-14,liquid,14402403846,"",3,38
695,LAR_10032022_covN2_PE-COD,2022-03-24 13:29:49,2022-03-14,2022-03-14,liquid,35600961538,"",9,38
696,VAT_10032022_covE_PE-COD,2022-03-24 13:44:36,2022-03-14,2022-03-14,liquid,37716601179,"",3,100
697,VAT_10032022_covN2_PE-COD,2022-03-24 13:44:36,2022-03-14,2022-03-14,liquid,56399312377,"",9,100
698,AYI_08032022_covE_PE-COD,2022-03-24 13:52:58,2022-03-08,2022-03-08,liquid,31982264957,"",3,97
699,AYI_08032022_covN2_PE-COD,2022-03-24 13:52:58,2022-03-08,2022-03-08,liquid,11679273504,"",9,97
700,LAR_21032022_covE_gc/L,2022-03-24 16:16:35,2022-03-21,2022-03-21,liquid,575750.0,"",2,44
701,LAR_21032022_covN2_gc/L,2022-03-24 16:16:35,2022-03-21,2022-03-21,liquid,532900.0,"",1,44
702,VAT_21032022_covE_gc/L,2022-03-24 16:19:14,2022-03-21,2022-03-21,liquid,550050.0,"",2,46
703,VAT_21032022_covN2_gc/L,2022-03-24 16:19:14,2022-03-21,2022-03-21,liquid,590650.0,"",1,46
704,PAF_21032022_covN2_gc/L,2022-03-24 16:20:58,2022-03-21,2022-03-21,liquid,217178.0,"",1,31
705,PAR_17032022_covN2_gc/L,2022-03-24 16:21:42,2022-03-21,2022-03-21,liquid,285900.0,"",1,107
706,PAR_21032022_covE_gc/L,2022-03-24 16:22:18,2022-03-21,2022-03-21,liquid,561700.0,"",2,47
707,LIM_27012022_covE,2022-02-07 12:59:26,2022-02-01,2022-02-01,liquid,61300.0,"",2,326
708,LIM_27012022_covN2,2022-02-07 12:59:26,2022-02-01,2022-02-01,liquid,137000.0,"",1,326
709,AYI_17022022_covE_gc/L,2022-02-24 11:45:09,2022-02-21,2022-02-21,liquid,41065.0,"",2,30
710,AYI_17022022_covN2_gc/L,2022-02-24 11:45:09,2022-02-21,2022-02-21,liquid,142300.0,"",1,30
711,LIM_03022022_covE,2022-02-10 11:42:34,2022-02-07,2022-02-07,liquid,53725.0,"",2,327
712,LIM_03022022_covN2,2022-02-10 11:42:34,2022-02-07,2022-02-07,liquid,71150.0,"",1,327
713,LIM_07022022_covE,2022-02-10 13:02:49,2022-02-07,2022-02-07,liquid,59085.0,"",2,328
714,LIM_07022022_covN2,2022-02-10 13:02:49,2022-02-07,2022-02-07,liquid,72090.0,"",1,328
715,LAR_03022022_covE,2022-02-10 13:04:54,2022-02-07,2022-02-07,liquid,106075.0,"",2,5
716,LAR_03022022_covN2,2022-02-10 13:04:54,2022-02-07,2022-02-07,liquid,148300.0,"",1,5
717,LAR_07022022_covE,2022-02-10 13:06:30,2022-02-07,2022-02-07,liquid,111210.0,"",2,58
718,LAR_07022022_covN2,2022-02-10 13:06:30,2022-02-07,2022-02-07,liquid,47840.0,"",1,58
719,ANT_07022022_covE,2022-02-10 13:08:37,2022-02-08,2022-02-08,liquid,79360.0,"",2,116
720,ANT_07022022_covN2,2022-02-10 13:08:37,2022-02-08,2022-02-08,liquid,112035.0,"",1,116
721,ANT_08022022_covE,2022-02-10 13:09:46,2022-02-08,2022-02-08,liquid,100845.0,"",2,329
722,ANT_08022022_covN2,2022-02-10 13:09:46,2022-02-08,2022-02-08,liquid,169495.0,"",1,329
723,VAT_03022022_covE,2022-02-10 13:11:04,2022-02-07,2022-02-07,liquid,58800.0,"",2,9
724,VAT_03022022_covN2,2022-02-10 13:11:04,2022-02-07,2022-02-07,liquid,114795.0,"",1,9
725,VAT_07022022_covE,2022-02-10 13:11:57,2022-02-07,2022-02-07,liquid,58390.0,"",2,60
726,VAT_07022022_covN2,2022-02-10 13:11:57,2022-02-07,2022-02-07,liquid,123755.0,"",1,60
727,PAF_03022022_covE,2022-02-10 13:13:12,2022-02-07,2022-02-07,liquid,30480.0,"",2,117
728,PAF_03022022_covN2,2022-02-10 13:13:12,2022-02-07,2022-02-07,liquid,62695.0,"",1,117
729,PAF_07022022_covE,2022-02-10 13:13:57,2022-02-07,2022-02-07,liquid,73320.0,"",2,330
730,PAF_07022022_covN2,2022-02-10 13:13:57,2022-02-07,2022-02-07,liquid,94595.0,"",1,330
731,PAR_03022022_covE,2022-02-10 13:14:57,2022-02-07,2022-02-07,liquid,103590.0,"",2,10
732,PAR_03022022_covN2,2022-02-10 13:14:57,2022-02-07,2022-02-07,liquid,162000.0,"",1,10
733,PAR_07022022_covE,2022-02-10 13:15:55,2022-02-07,2022-02-07,liquid,83820.0,"",2,62
734,PAR_07022022_covN2,2022-02-10 13:15:55,2022-02-07,2022-02-07,liquid,155325.0,"",1,62
735,AYI_03022022_covE,2022-02-10 13:18:11,2022-02-07,2022-02-07,liquid,83820.0,"",2,118
736,AYI_03022022_covN2,2022-02-10 13:18:11,2022-02-07,2022-02-07,liquid,87040.0,"",1,118
737,AYI_07022022_covE,2022-02-10 13:19:17,2022-02-07,2022-02-07,liquid,54600.0,"",2,331
738,AYI_07022022_covN2,2022-02-10 13:19:17,2022-02-07,2022-02-07,liquid,46250.0,"",1,331
739,VAT_14102021_covE,,2021-10-14,2021-10-14,liquid,2470.0,"",2,165
740,ANT_14102021_covE,,2021-10-14,2021-10-14,liquid,3030.0,"",2,164
741,LIM_11102021_covN2,,2021-10-11,2021-10-11,liquid,20090.0,"",1,142
742,ANT_14102021_covN2,,2021-10-14,2021-10-14,liquid,1090.0,"",1,164
743,PAF_14102021_covN2,,2021-10-14,2021-10-14,liquid,3620.0,"",1,163
744,VAT_14102021_covN2,,2021-10-14,2021-10-14,liquid,3650.0,"",1,165
745,PAF_14102021_covE,,2021-10-14,2021-10-14,liquid,3450.0,"",2,163
746,LIM_14102021_covN2,,2021-10-14,2021-10-14,liquid,8470.0,"",1,162
747,LAR_14102021_covN2,,2021-10-14,2021-10-14,liquid,14510.0,"",1,146
748,LIM_14102021_covE,,2021-10-14,2021-10-14,liquid,7040.0,"",2,162
749,LAR_14102021_covE,,2021-10-14,2021-10-14,liquid,13400.0,"",2,146
750,PAR_14102021_covE,,2021-10-14,2021-10-14,liquid,27970.0,"",2,167
751,AYI_14102021_covE,,2021-10-14,2021-10-14,liquid,32240.000000000004,"",2,166
752,VAT_18102021_covE,,2021-10-18,2021-10-18,liquid,2510.0,"",2,171
753,LIM_18102021_covE,,2021-10-18,2021-10-18,liquid,2630.0,"",2,169
754,PAR_14102021_covN2,,2021-10-14,2021-10-14,liquid,36640.0,"",1,167
755,AYI_14102021_covN2,,2021-10-14,2021-10-14,liquid,38540.0,"",1,166
756,VAT_18102021_covN2,,2021-10-18,2021-10-18,liquid,760.0,"",1,171
757,LIM_18102021_covN2,,2021-10-18,2021-10-18,liquid,1320.0,"",1,169
758,PAF_18102021_covN2,,2021-10-18,2021-10-18,liquid,4240.0,"",1,113
759,PAF_18102021_covE,,2021-10-18,2021-10-18,liquid,4470.0,"",2,113
760,ANT_18102021_covN2,,2021-10-18,2021-10-18,liquid,8620.0,"",1,170
761,LAR_18102021_covN2,,2021-10-18,2021-10-18,liquid,20960.0,"",1,168
762,LAR_17012022_covE_PE-COD,2022-02-28 15:40:50,2022-01-17,2022-01-17,liquid,15608759124.1,"",3,125
763,LAR_17012022_covN2_PE-COD,2022-02-28 15:40:50,2022-01-17,2022-01-17,liquid,12124087591.2,"",9,125
764,ANT_06122021_covE_PE-COD,2022-02-28 16:14:52,2021-12-06,2021-12-06,liquid,1679864253,"",3,260
765,ANT_06122021_covN2_PE-COD,2022-02-28 16:14:52,2021-12-06,2021-12-06,liquid,5773755656,"",9,260
766,ANT_18102021_covE,,2021-10-18,2021-10-18,liquid,4910.0,"",2,170
767,LAR_18102021_covE,,2021-10-18,2021-10-18,liquid,31170.0,"",2,168
768,VAT_21102021_covE,,2021-10-21,2021-10-21,liquid,2470.0,"",2,176
769,PAF_21102021_covE,,2021-10-21,2021-10-21,liquid,4150.0,"",2,174
770,PAR_21102021_covE,,2021-10-21,2021-10-21,liquid,4380.0,"",2,178
771,AYI_21102021_covE,,2021-10-21,2021-10-21,liquid,9140.0,"",2,177
772,PAR_21102021_covN2,,2021-10-21,2021-10-21,liquid,990.0,"",1,178
773,AYI_21102021_covN2,,2021-10-21,2021-10-21,liquid,1580.0,"",1,177
774,VAT_21102021_covN2,,2021-10-21,2021-10-21,liquid,4370.0,"",1,176
775,ANT_21102021_covN2,,2021-10-21,2021-10-21,liquid,10090.0,"",1,175
776,ANT_21102021_covE,,2021-10-21,2021-10-21,liquid,9400.0,"",2,175
777,PAF_21102021_covN2,,2021-10-21,2021-10-21,liquid,13020.0,"",1,174
778,LAR_21102021_covN2,,2021-10-21,2021-10-21,liquid,29030.0,"",1,172
779,LIM_21102021_covN2,,2021-10-21,2021-10-21,liquid,38760.0,"",1,173
780,LIM_21102021_covE,,2021-10-21,2021-10-21,liquid,14780.0,"",2,173
781,LAR_21102021_covE,,2021-10-21,2021-10-21,liquid,16430.0,"",2,172
782,ANT_25102021_covE,,2021-10-25,2021-10-25,liquid,2640.0,"",2,182
783,VAT_25102021_covE,,2021-10-25,2021-10-25,liquid,5210.0,"",2,183
784,LIM_25102021_covE,,2021-10-25,2021-10-25,liquid,17820.0,"",2,180
785,PAF_25102021_covE,,2021-10-25,2021-10-25,liquid,22240.0,"",2,181
786,ANT_25102021_covN2,,2021-10-25,2021-10-25,liquid,4570.0,"",1,182
787,VAT_25102021_covN2,,2021-10-25,2021-10-25,liquid,8860.0,"",1,183
788,LIM_25102021_covN2,,2021-10-25,2021-10-25,liquid,20230.0,"",1,180
789,PAF_25102021_covN2,,2021-10-25,2021-10-25,liquid,28280.0,"",1,181
790,LAR_25102021_covE,,2021-10-25,2021-10-25,liquid,29200.0,"",2,179
791,LAR_25102021_covN2,,2021-10-25,2021-10-25,liquid,43120.0,"",1,179
792,VAT_28102021_covE,,2021-10-28,2021-10-28,liquid,24930.0,"",2,188
793,ANT_28102021_covE,,2021-10-28,2021-10-28,liquid,45820.0,"",2,187
794,PAF_28102021_covE,,2021-10-28,2021-10-28,liquid,94570.0,"",2,186
795,LAR_28102021_covE,,2021-10-28,2021-10-28,liquid,94620.0,"",2,184
796,ANT_28102021_covN2,,2021-10-28,2021-10-28,liquid,2970.0,"",1,187
797,VAT_28102021_covN2,,2021-10-28,2021-10-28,liquid,63400.0,"",1,188
798,LAR_28102021_covN2,,2021-10-28,2021-10-28,liquid,120130.0,"",1,184
799,LIM_28102021_covN2,,2021-10-28,2021-10-28,liquid,187510.0,"",1,185
800,LIM_28102021_covE,,2021-10-28,2021-10-28,liquid,99100.0,"",2,185
801,PAF_28102021_covN2,,2021-10-28,2021-10-28,liquid,201350.0,"",1,186
802,ANT_01112021_covN2,,2021-11-01,2021-11-01,liquid,34450.0,"",1,192
803,VAT_01112021_covN2,,2021-11-01,2021-11-01,liquid,62590.0,"",1,193
804,ANT_01112021_covE,,2021-11-01,2021-11-01,liquid,27240.0,"",2,192
805,VAT_01112021_covE,,2021-11-01,2021-11-01,liquid,68240.0,"",2,193
806,PAF_01112021_covE,,2021-11-01,2021-11-01,liquid,79000.0,"",2,191
807,LIM_01112021_covE,,2021-11-01,2021-11-01,liquid,85080.0,"",2,190
808,LAR_01112021_covE,,2021-11-01,2021-11-01,liquid,88940.0,"",2,189
809,LIM_04112021_covE,,2021-11-04,2021-11-04,liquid,590.0,"",2,195
810,PAF_01112021_covN2,,2021-11-01,2021-11-01,liquid,168410.0,"",1,191
811,LAR_01112021_covN2,,2021-11-01,2021-11-01,liquid,202340.0,"",1,189
812,LIM_01112021_covN2,,2021-11-01,2021-11-01,liquid,204800.0,"",1,190
813,LAR_04112021_covN2,,2021-11-04,2021-11-04,liquid,10960.0,"",1,199
814,PAF_04112021_covE,,2021-11-04,2021-11-04,liquid,1110.0,"",2,196
815,ANT_04112021_covN2,,2021-11-04,2021-11-04,liquid,12300.0,"",1,194
816,PAF_04112021_covN2,,2021-11-04,2021-11-04,liquid,14820.0,"",1,196
817,PAR_04112021_covN2,,2021-11-04,2021-11-04,liquid,24060.0,"",1,197
818,LIM_04112021_covN2,,2021-11-04,2021-11-04,liquid,30390.0,"",1,195
819,VAT_04112021_covN2,,2021-11-04,2021-11-04,liquid,31170.0,"",1,200
820,AYI_04112021_covN2,,2021-11-04,2021-11-04,liquid,35110.0,"",1,198
821,PAF_08112021_covN2,,2021-11-08,2021-11-08,liquid,3080.0,"",1,202
822,LAR_04112021_covE,,2021-11-04,2021-11-04,liquid,1840.0,"",2,199
823,ANT_04112021_covE,,2021-11-04,2021-11-04,liquid,3210.0,"",2,194
824,PAR_04112021_covE,,2021-11-04,2021-11-04,liquid,16400.0,"",2,197
825,AYI_04112021_covE,,2021-11-04,2021-11-04,liquid,21430.0,"",2,198
826,VAT_04112021_covE,,2021-11-04,2021-11-04,liquid,31170.0,"",2,200
827,PAR_28102021_covN2,,2021-10-27,2021-10-27,liquid,46360.0,"",1,85
828,AYI_28102021_covE,,2021-10-27,2021-10-27,liquid,27470.0,"",2,152
829,AYI_28102021_covN2,,2021-10-27,2021-10-27,liquid,30650.0,"",1,152
830,LIM_08112021_covE,,2021-11-08,2021-11-08,liquid,1570.0,"",2,201
831,LAR_08112021_covN2,,2021-11-08,2021-11-08,liquid,18010.0,"",1,203
832,LIM_08112021_covN2,,2021-11-08,2021-11-08,liquid,22610.0,"",1,201
833,VAT_08112021_covN2,,2021-11-08,2021-11-08,liquid,25770.0,"",1,204
834,PAR_11112021_covN2,,2021-11-11,2021-11-11,liquid,1990.0,"",1,207
835,AYI_11112021_covN2,,2021-11-11,2021-11-11,liquid,2910.0,"",1,208
836,VAT_11112021_covN2,,2021-11-11,2021-11-11,liquid,12340.0,"",1,210
837,PAF_08112021_covE,,2021-11-08,2021-11-08,liquid,1900.0,"",2,202
838,ANT_07112021_covE,,2021-11-08,2021-11-08,liquid,2120.0,"",2,215
839,LAR_08112021_covE,,2021-11-08,2021-11-08,liquid,2400.0,"",2,203
840,VAT_08112021_covE,,2021-11-08,2021-11-08,liquid,25770.0,"",2,204
841,AYI_11112021_covE,,2021-11-11,2021-11-11,liquid,1020.0,"",2,208
842,LAR_11112021_covE,,2021-11-11,2021-11-11,liquid,2140.0,"",2,209
843,PAR_11112021_covE,,2021-11-11,2021-11-11,liquid,4660.0,"",2,207
844,LAR_11112021_covN2,,2021-11-11,2021-11-11,liquid,14570.0,"",1,209
845,LIM_11112021_covN2,,2021-11-11,2021-11-11,liquid,17100.0,"",1,205
846,PAF_11112021_covN2,,2021-11-11,2021-11-11,liquid,22350.0,"",1,206
847,ANT_11112021_covN2,,2021-11-11,2021-11-11,liquid,31970.0,"",1,61
848,PAR_15112021_covN2,,2021-11-15,2021-11-15,liquid,640.0,"",1,214
849,PAF_11112021_covE,,2021-11-11,2021-11-11,liquid,6560.0,"",2,206
850,LIM_11112021_covE,,2021-11-11,2021-11-11,liquid,8910.0,"",2,205
851,ANT_11112021_covE,,2021-11-11,2021-11-11,liquid,11120.0,"",2,61
